               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031693,            0.014932,           0.0018989,             0.82452,             0.62607,             0.68724,             0.45279,            0.032865,           0.0061106,           0.0018978,            0.004225,            0.004225,            0.004225
                  37,            0.030637,            0.014804,           0.0018416,             0.80586,             0.66107,             0.69362,             0.45775,            0.032793,           0.0059922,           0.0019611,             0.00406,             0.00406,             0.00406
                  38,            0.031784,            0.015141,           0.0020251,             0.81922,             0.62114,             0.67302,             0.43858,            0.033672,           0.0061773,           0.0027714,            0.003895,            0.003895,            0.003895
                  39,            0.031519,            0.014805,           0.0022293,             0.83529,             0.63133,             0.69499,             0.45581,            0.032765,           0.0059977,           0.0027184,             0.00373,             0.00373,             0.00373
                  40,            0.031363,             0.01505,           0.0022946,             0.84473,             0.64881,              0.6919,             0.45108,            0.032778,           0.0060702,           0.0036314,            0.003565,            0.003565,            0.003565
                  41,            0.030688,            0.015227,           0.0021456,              0.8089,             0.65561,             0.70207,             0.47778,            0.031726,            0.006068,           0.0017103,              0.0034,              0.0034,              0.0034
                  42,            0.031526,             0.01449,           0.0024205,             0.85507,             0.64713,             0.69785,             0.47869,            0.031943,           0.0058967,           0.0015695,            0.003235,            0.003235,            0.003235
                  43,            0.031183,            0.014979,           0.0021058,             0.87574,             0.63499,             0.69519,             0.46719,            0.031874,           0.0060243,           0.0012724,             0.00307,             0.00307,             0.00307
                  44,            0.030307,            0.014553,           0.0022776,             0.87713,             0.63742,             0.70482,             0.45948,            0.032163,           0.0061309,           0.0010842,            0.002905,            0.002905,            0.002905
                  45,            0.030653,            0.014872,             0.00196,             0.85708,             0.63502,             0.69302,             0.47009,            0.031571,           0.0060212,           0.0018554,             0.00274,             0.00274,             0.00274
                  46,            0.030261,            0.014561,           0.0020547,             0.86484,             0.63462,             0.70165,             0.46059,            0.031699,            0.006048,           0.0015433,            0.002575,            0.002575,            0.002575
                  47,            0.029517,             0.01435,           0.0017155,             0.86136,             0.64781,             0.70856,             0.47972,             0.03105,           0.0059448,           0.0019269,             0.00241,             0.00241,             0.00241
                  48,            0.030083,            0.014346,           0.0019252,              0.8324,               0.648,             0.70077,             0.47467,            0.031091,           0.0059334,           0.0017321,            0.002245,            0.002245,            0.002245
                  49,            0.030296,            0.014539,           0.0018054,             0.88066,             0.63123,             0.70445,             0.47799,             0.03125,           0.0059615,           0.0017427,             0.00208,             0.00208,             0.00208
                  50,            0.028934,            0.014437,           0.0015837,              0.8793,              0.6321,             0.69941,             0.47073,            0.031435,            0.005957,           0.0012981,            0.001915,            0.001915,            0.001915
                  51,            0.029901,            0.014397,           0.0017747,             0.88007,             0.64555,             0.70851,             0.47847,            0.031211,           0.0059423,           0.0015916,             0.00175,             0.00175,             0.00175
                  52,             0.02941,            0.014527,           0.0014318,             0.91092,             0.63209,             0.71429,             0.49442,            0.030901,           0.0059191,           0.0011789,            0.001585,            0.001585,            0.001585
                  53,            0.029183,            0.013749,           0.0015864,             0.88611,              0.6233,             0.69732,             0.47867,            0.031224,           0.0059464,           0.0015861,             0.00142,             0.00142,             0.00142
                  54,            0.029379,            0.014329,           0.0014893,             0.84941,             0.65584,             0.71233,             0.48703,            0.030608,           0.0058588,           0.0014367,            0.001255,            0.001255,            0.001255
                  55,             0.02871,            0.014261,           0.0015868,             0.86844,             0.63006,             0.70309,             0.49106,            0.030777,           0.0058672,           0.0016748,             0.00109,             0.00109,             0.00109
                  56,            0.028459,             0.01392,           0.0014653,             0.87288,             0.63555,             0.70945,             0.48889,            0.030666,           0.0058449,            0.001505,            0.000925,            0.000925,            0.000925
                  57,            0.028531,            0.013872,           0.0013078,             0.83779,             0.64965,             0.70238,             0.48255,            0.030737,           0.0058625,           0.0015629,             0.00076,             0.00076,             0.00076
                  58,            0.028204,            0.014009,           0.0015469,             0.85857,              0.6309,             0.70437,             0.48004,            0.030669,           0.0058403,           0.0013634,            0.000595,            0.000595,            0.000595
                  59,            0.027752,            0.013985,           0.0015311,             0.90209,             0.61686,             0.70888,              0.4843,            0.030598,           0.0058653,           0.0014461,             0.00043,             0.00043,             0.00043
